name,role,last_name,twitter_ID,state,party_affiliation,region,gender,age,religion
Donald Trump,executive staff,Trump,realDonaldTrump,N/A,R,N/A,M,70,Protestant
Steven Mnuchin,executive staff,Mnuchin,stevenmnuchin1,N/A,R,N/A,M,54,null
Jeff Sessions,executive staff,Sessions,jeffsessions,N/A,R,N/A,M,70,Methodist
Sonny Perdue,executive staff,Perdue,SecretarySonny,N/A,R,N/A,M,70,Baptist
Ben Carson,executive staff,Carson,RealBenCarson,N/A,R,N/A,M,65,Protestant
Rick Perry,executive staff,Perry,SecretaryPerry,N/A,R,N/A,M,67,Evangelical
David Shulkin,executive staff,Shulkin,SecShulkin,N/A,null,N/A,M,57,null
Ryan Zinke,executive staff,Zinke,SecretaryZinke,N/A,R,N/A,M,67,null
Wilbur Ross,executive staff,Ross,SecretaryRoss,N/A,R,N/A,M,79,Jewish
Tom Price,executive staff,Price,SecPriceMD,N/A,R,N/A,M,62,Presbyterian
Elaine Chao,executive staff,Chao,SecElaineChao,N/A,R,N/A,F,64,Protestant
Betsy DeVos,executive staff,DeVos,BetsyDeVos,N/A,R,N/A,F,59,Evangelical
Reince Preibus,executive staff,Preibus,Reince,N/A,R,N/A,M,45,Greek Orthodox
Scott Pruit,executive staff,Pruit,ScottPruittOK,N/A,R,N/A,M,48,Baptist
Nikki Haley,executive staff,Haley,nikkihaley,N/A,R,N/A,F,45,Sikh
Linda McMahon,executive staff,McMahon,Linda_McMahon,N/A,R,N/A,F,68,null
Mike Pence,executive staff,Pence,mike_pence,N/A,R,N/A,M,57,Evangelical
Richard Shelby,senator,Shelby,SenShelby,Alabama,R,South,M,82,Protestant
Luther Strange,senator,Strange,lutherstrange,Alabama,R,South,M,64,Protestant
Lisa Murkowski,senator,Murkowski,lisamurkowski,Alaska,R,West,F,59,Catholic
Dan Sullivan,senator,Sullivan,SenDanSullivan,Alaska,R,West,M,52,Catholic
Jeff Flake,senator,Flake,JeffFlake,Arizona,R,West,M,54,Mormon
John McCain,senator,McCain,SenJohnMcCain,Arizona,R,West,M,80,Protestant
John Boozman,senator,Boozman,JohnBoozman,Arkansas,R,South,M,66,Protestant
Tom Cotton,senator,Cotton,SenTomCotton,Arkansas,R,South,M,39,Protestant
Dianne Feinstein,senator,Feinstein,SenFeinstein,California,D,West,F,83,Jewish
Kamala Harris,senator,Harris,SenKamalaHarris,California,D,West,F,52,Protestant
Michael Bennet,senator,Bennet,SenBennetCO,Colorado,D,West,M,52,Unaffiliated
Cory Gardner,senator,Gardner,SenCoryGardner,Colorado,R,West,M,42,Protestant
Richard Blumenthal,senator,Blumenthal,SenBlumenthal,Connecticut,D,Northeast,M,71,Jewish
Christopher Murphy,senator,Murphy,ChrisMurphyCT,Connecticut,D,Northeast,M,43,Protestant
Tom Carper,senator,Carper,SenatorCarper,Delaware,D,South,M,70,Protestant
Chris Coons,senator,Coons,ChrisCoons,Delaware,D,South,M,53,Protestant
Bill Nelson,senator,Nelson,SenBillNelson,Florida,D,South,M,74,Protestant
Marco Rubio,senator,Rubio,marcorubio,Florida,R,South,M,45,Catholic
Johnny Isakson,senator,Isakson,SenatorIsakson,Georgia,D,South,M,72,Protestant
David Perdue,senator,Perdue,sendavidperdue,Georgia,R,South,M,67,Protestant
Mazie K. Hirono,senator,Hirono,maziehirono,Hawaii,R,West,F,69,Buddhist
Brian Schatz,senator,Schatz,brianschatz,Hawaii,D,South,M,44,Jewish
Mike Crapo,senator,Crapo,MikeCrapo,Idaho,R,West,M,65,Mormon
Jim Risch,senator,Risch,SenatorRisch,Idaho,D,West,M,73,Catholic
Tammy Duckworth,senator,Duckworth,SenDuckworth,Illinois,D,Midwest,F,49,Unaffiliated
Dick Durbin,senator,Durbin,SenatorDurbin,Illinois,D,Midwest,M,72,Catholic
Joe Donnelly,senator,Donnelly,SenDonnelly,Indiana,D,Midwest,M,61,Catholic
Todd Young,senator,Todd Young,SenToddYoung,Indiana,R,Midwest,M,44,Protestant
Joni Ernst,senator,Ernst,joniernst,Iowa,R,Midwest,F,46,Protestant
Chuck Grassley,senator,Grassley,ChuckGrassley,Iowa,R,Midwest,M,83,Protestant
Jerry Moran,senator,Moran,JerryMoran,Kansas,R,Midwest,M,62,Protestant
Pat Roberts,senator,Roberts,SenPatRoberts,Kansas,R,Midwest,M,80,Protestant
Mitch McConnell,senator,McConnell,SenateMajLdr,Kentucky,R,South,M,75,Protestant
Rand Paul,senator,Paul,RandPaul,Kentucky,R,South,M,54,Protestant
Bill Cassidy,senator,Cassidy,BillCassidy,Louisiana,R,South,M,59,Protestant
John Neely Kennedy,senator,Kennedy,JohnKennedyLA,Louisiana,R,South,M,65,Protestant
Susan Collins,senator,Collins,SenatorCollins,Maine,R,Northeast,F,64,Catholic
Angus King,senator,King,SenAngusKing,Maine,I,Northeast,M,73,Protestant
Ben Cardin,senator,Cardin,SenatorCardin,Maryland,D,South,M,73,Jewish
Chris Van Hollen,senator,Van Hollen,ChrisVanHollen,Maryland,D,South,M,58,Protestant
Ed Markey,senator,Markey,senmarkey,Massachusetts,D,Northeast,M,70,Catholic
Elizabeth Warren,senator,Warren,SenWarren,Massachusetts,D,Northeast,F,67,Protestant
Gary Peters,senator,Peters,SenGaryPeters,Michigan,D,Midwest,M,58,Protestant
Debbie Stabenow,senator,Stabenow,SenStabenow,Michigan,D,Midwest,F,66,Protestant
Al Franken,senator,Franken,SenFranken,Minnesota,D,Midwest,M,65,Jewish
Amy Klobuchar,senator,Klobuchar,amyklobuchar,Minnesota,D,Midwest,F,56,Protestant
Thad Cochran,senator,Cochran,SenThadCochran,Mississippi,R,South,M,79,Protestant
Roger Wicker,senator,Wicker,SenatorWicker,Mississippi,R,South,M,65,Protestant
Roy Blunt,senator,Blunt,RoyBlunt,Missouri,R,Midwest,M,67,Protestant
Claire McCaskill,senator,McCaskill,clairecmc,Missouri,D,Midwest,F,63,Catholic
Steve Daines,senator,Daines,SteveDaines,Montana,R,West,M,54,Protestant
Jon Tester,senator,Tester,SenatorTester,Montana,D,West,M,60,Protestant
Deb Fischer,senator,Fischer,SenatorFischer,Nebraska,R,West,F,66,Protestant
Ben Sasse,senator,Sasse,BenSasse,Nebraska,R,West,M,45,Protestant
Catherine Cortez Masto,senator,Cortez Masto,SenCortezMasto,Nevada,D,West,F,53,Catholic
Dean Heller,senator,Heller,SenDeanHeller,Nevada,R,West,M,56,Mormon
Maggie Hassan,senator,Hassan,SenatorHassan,New Hampshire,D,Northeast,F,59,Protestant
Jeanne Shaheen,senator,Shaheen,SenatorShaheen,New Hampshire,D,Northeast,F,70,Protestant
Cory Booker,senator,Booker,CoryBooker,New Jersey,D,Northeast,M,47,Protestant
Bob Menendez,senator,Menendez,SenatorMenendez,New Jersey,D,Northeast,M,63,Catholic
Martin Heinrich,senator,Heinrich,MartinHeinrich,New Mexico,D,West,M,45,Protestant
Tom Udall,senator,Udall,SenatorTomUdall,New Mexico,D,West,M,68,Mormon
Kirsten Gillibrand,senator,Gillibrand,SenGillibrand,New York,D,Northeast,F,50,Catholic
Chuck Schumer,senator,Schumer,SenSchumer,New York,D,Northeast,M,66,Jewish
Richard Burr,senator,Burr,SenatorBurr,North Carolina,R,South,M,61,Protestant
Thom Tillis,senator,Tillis,ThomTillis,North Carolina,R,South,M,56,Catholic
Heidi Heitkamp,senator,Heitkamp,SenatorHeitkamp,North Dakota,D,Midwest,F,61,Catholic
John Hoeven,senator,Hoeven,SenJohnHoeven,North Dakota,R,Midwest,M,60,Catholic
Sherrod Brown,senator,Brown,SenSherrodBrown,Ohio,D,Midwest,M,64,Protestant
Rob Portman,senator,Portman,robportman,Ohio,R,Midwest,M,61,Protestant
Jim Inhofe,senator,Inhofe,PattyMurray,Oklahoma,R,South,M,82,Protestant
James Lankford,senator,Lankford,SenatorLankford,Oklahoma,R,South,M,49,Protestant
Jeff Merkley,senator,Merkley,SenJeffMerkley,Oregon,D,West,M,60,Protestant
Ron Wyden,senator,Wyden,RonWyden,Oregon,D,West,M,67,Jewish
"Bob Casey, Jr.",senator,Casey,SenBobCasey,Pennsylvania,D,Northeast,M,57,Catholic
Pat Toomey,senator,Toomey,SenToomey,Pennsylvania,R,Northeast,M,55,Catholic
Jack Reed,senator,Reed,SenJackReed,Rhode Island,D,Northeast,M,67,Catholic
Sheldon Whitehouse,senator,Whitehouse,SenWhitehouse,Rhode Island,D,Northeast,M,61,Protestant
Lindsey Graham,senator,Graham,GrahamBlog,South Carolina,R,South,M,61,Protestant
Tim Scott,senator,Scott,SenatorTimScott,South Carolina,R,South,M,51,Protestant
Mike Rounds,senator,Rounds,SenatorRounds,South Dakota,R,Midwest,M,62,Catholic
John Thune,senator,Thune,SenJohnThune,South Dakota,R,Midwest,M,56,Protestant
Lamar Alexander,senator,Alexander,SenatorRounds,Tennessee,R,South,M,76,Protestant
Bob Corker,senator,Corker,SenBobCorker,Tennessee,R,South,M,64,Protestant
John Cornyn,senator,Cornyn,JohnCornyn,Texas,R,South,M,65,Protestant
Ted Cruz,senator,Cruz,SenTedCruz,Texas,R,South,M,46,Protestant
Orrin Hatch,senator,Hatch,senorrinhatch,Utah,R,West,M,83,Mormon
Mike Lee,senator,Lee,SenMikeLee,Utah,R,West,M,45,Mormon
Patrick Leahy,senator,Leahy,SenatorLeahy,Vermont,D,Northeast,M,77,Catholic
Bernie Sanders,senator,Sanders,SenatorSanders,Vermont,I,Northeast,M,75,Jewish
Tim Kaine,senator,Kaine,timkaine,Virginia,D,South,M,59,Catholic
Mark Warner,senator,Warner,MarkWarner,Virginia,D,South,M,62,Protestant
Maria Cantwell,senator,Cantwell,SenatorCantwell,Washington,D,West,F,58,Catholic
Patty Murray,senator,Murray,PattyMurray,Washington,D,West,M,66,Protestant
Shelley Moore Capito,senator,Capito,SenCapito,West Virginia,R,South,F,63,Protestant
Joe Manchin,senator,Manchin,Sen_JoeManchin,West Virginia,D,South,M,69,Catholic
Tammy Baldwin,senator,Baldwin,SenatorBaldwin,Wisconsin,D,Midwest,F,55,Unaffiliated
Ron Johnson,senator,Ron Johnson,SenRonJohnson,Wisconsin,R,Midwest,M,62,Protestant
John Barrasso,senator,Barrasso,SenJohnBarrasso,Wyoming,R,West,M,64,Protestant
Mike Enzi,senator,Enzi,SenatorEnzi,Wyoming,R,West,M,73,Protestant
Adam Smith,representative,"Smith, Adam",RepAdamSmith,Washington,D,West,M,52,Anglican/Episcopalian
Andy Barr,representative,"Barr, Andy",RepAndyBarr,Kentucky,R,South,M,44,Anglican/Episcopalian
Blake Farenthold,representative,"Farenthold, Blake",farenthold,Texas,R,South,M,56,Anglican/Episcopalian
David McKinley,representative,"McKinley, David",RepMcKinley,West Virginia,R,South,M,70,Anglican/Episcopalian
Don Young,representative,"Young, Don",repdonyoung,Alaska,R,West,M,84,Anglican/Episcopalian
Frederica Wilson,representative,"Wilson, Frederica",RepWilson,Florida,D,South,F,75,Anglican/Episcopalian
Greg Walden,representative,"Walden, Greg",repgregwalden,Oregon,R,West,M,60,Anglican/Episcopalian
Ileana Ros-Lehtinen,representative,"Ros-Lehtinen, Ileana",RosLehtinen,Florida,R,South,F,65,Anglican/Episcopalian
Jeb Hensarling,representative,"Hensarling, Jeb",RepHensarling,Texas,R,South,M,60,Anglican/Episcopalian
Jim Cooper,representative,"Cooper, Jim",repjimcooper,Tennessee,D,South,M,63,Anglican/Episcopalian
Julia Brownley,representative,"Brownley, Julia",JuliaBrownley26,California,D,West,F,65,Anglican/Episcopalian
Kurt Schrader,representative,"Schrader, Kurt",RepSchrader,Oregon,D,West,M,66,Anglican/Episcopalian
Louise Slaughter,representative,"Slaughter, Louise",louiseslaughter,New York,D,Northeast,F,88,Anglican/Episcopalian
Mark Sanford,representative,"Sanford, Mark",RepSanfordSC,South Carolina,R,South,M,57,Anglican/Episcopalian
Michael Burgess,representative,"Burgess, Michael",michaelcburgess,Texas,R,South,M,67,Anglican/Episcopalian
